FIPS_Code,State,County,Year,Unemployment_rate_2023,Poverty_Rate_Pct,Median_Income,Population,Education_Bachelor_Pct,Low_Access_Pct,Food_Insecurity_Rate,Child_Food_Insecurity_Rate,Food_Insecure_Persons,Snap_Threshold,Pct_FI_Below_Snap,Border_State,Is_Border_County
04001,AZ,"Apache County, AZ",2019,7.9,29.6,40632,65036,15.26852353259718,54.71744537353516,0.236,0.335,16900,1.85,0.744,Border State,Non-Border
04001,AZ,"Apache County, AZ",2020,7.9,29.6,40632,65036,15.26852353259718,54.71744537353516,0.226,0.299,16230,1.85,0.788,Border State,Non-Border
04001,AZ,"Apache County, AZ",2021,7.9,29.6,40632,65036,15.26852353259718,54.71744537353516,0.196,0.245,13010,1.85,0.837,Border State,Non-Border
04001,AZ,"Apache County, AZ",2022,7.9,29.6,40632,65036,15.26852353259718,54.71744537353516,0.215,0.295,14180,1.85,0.819,Border State,Non-Border
04001,AZ,"Apache County, AZ",2023,7.9,29.6,40632,65036,15.26852353259718,54.71744537353516,0.217,0.308,14250,1.85,0.822,Border State,Non-Border
04003,AZ,"Cochise County, AZ",2019,4.5,16.3,55254,124640,27.657715188384362,43.89905166625977,0.142,0.214,17830,1.85,0.736,Border State,Border County
04003,AZ,"Cochise County, AZ",2020,4.5,16.3,55254,124640,27.657715188384362,43.89905166625977,0.126,0.199,15880,1.85,0.73,Border State,Border County
04003,AZ,"Cochise County, AZ",2021,4.5,16.3,55254,124640,27.657715188384362,43.89905166625977,0.111,0.162,13820,1.85,0.729,Border State,Border County
04003,AZ,"Cochise County, AZ",2022,4.5,16.3,55254,124640,27.657715188384362,43.89905166625977,0.148,0.224,18550,1.85,0.721,Border State,Border County
04003,AZ,"Cochise County, AZ",2023,4.5,16.3,55254,124640,27.657715188384362,43.89905166625977,0.163,0.226,20490,1.85,0.693,Border State,Border County
04005,AZ,"Coconino County, AZ",2019,4.2,17.8,64016,144472,39.61938901319695,32.45462799072266,0.146,0.183,20700,1.85,0.616,Border State,Non-Border
04005,AZ,"Coconino County, AZ",2020,4.2,17.8,64016,144472,39.61938901319695,32.45462799072266,0.146,0.185,20730,1.85,0.658,Border State,Non-Border
04005,AZ,"Coconino County, AZ",2021,4.2,17.8,64016,144472,39.61938901319695,32.45462799072266,0.126,0.144,18240,1.85,0.684,Border State,Non-Border
04005,AZ,"Coconino County, AZ",2022,4.2,17.8,64016,144472,39.61938901319695,32.45462799072266,0.144,0.19,20820,1.85,0.664,Border State,Non-Border
04005,AZ,"Coconino County, AZ",2023,4.2,17.8,64016,144472,39.61938901319695,32.45462799072266,0.161,0.217,23270,1.85,0.638,Border State,Non-Border
04007,AZ,"Gila County, AZ",2019,4.3,17.7,51928,54003,18.847188995215312,28.23313522338867,0.175,0.277,9350,1.85,0.736,Border State,Non-Border
04007,AZ,"Gila County, AZ",2020,4.3,17.7,51928,54003,18.847188995215312,28.23313522338867,0.159,0.236,8550,1.85,0.71,Border State,Non-Border
04007,AZ,"Gila County, AZ",2021,4.3,17.7,51928,54003,18.847188995215312,28.23313522338867,0.14,0.199,7430,1.85,0.746,Border State,Non-Border
04007,AZ,"Gila County, AZ",2022,4.3,17.7,51928,54003,18.847188995215312,28.23313522338867,0.168,0.256,9000,1.85,0.731,Border State,Non-Border
04007,AZ,"Gila County, AZ",2023,4.3,17.7,51928,54003,18.847188995215312,28.23313522338867,0.173,0.26,9290,1.85,0.684,Border State,Non-Border
04009,AZ,"Graham County, AZ",2019,3.7,17.3,63797,39525,14.591321897073664,39.64398574829102,0.148,0.212,5630,1.85,0.626,Border State,Non-Border
04009,AZ,"Graham County, AZ",2020,3.7,17.3,63797,39525,14.591321897073664,39.64398574829102,0.138,0.183,5300,1.85,0.653,Border State,Non-Border
04009,AZ,"Graham County, AZ",2021,3.7,17.3,63797,39525,14.591321897073664,39.64398574829102,0.123,0.151,4680,1.85,0.679,Border State,Non-Border
04009,AZ,"Graham County, AZ",2022,3.7,17.3,63797,39525,14.591321897073664,39.64398574829102,0.146,0.189,5620,1.85,0.662,Border State,Non-Border
04009,AZ,"Graham County, AZ",2023,3.7,17.3,63797,39525,14.591321897073664,39.64398574829102,0.161,0.203,6270,1.85,0.642,Border State,Non-Border
04011,AZ,"Greenlee County, AZ",2019,2.9000000000000004,9.700000000000001,76338,9369,20.414593698175786,32.91820907592773,0.122,0.155,1160,1.85,0.678,Border State,Non-Border
04011,AZ,"Greenlee County, AZ",2020,2.9000000000000004,9.700000000000001,76338,9369,20.414593698175786,32.91820907592773,0.108,0.162,1020,1.85,0.594,Border State,Non-Border
04011,AZ,"Greenlee County, AZ",2021,2.9000000000000004,9.700000000000001,76338,9369,20.414593698175786,32.91820907592773,0.096,0.137,910,1.85,0.484,Border State,Non-Border
04011,AZ,"Greenlee County, AZ",2022,2.9000000000000004,9.700000000000001,76338,9369,20.414593698175786,32.91820907592773,0.136,0.195,1290,1.85,0.486,Border State,Non-Border
04011,AZ,"Greenlee County, AZ",2023,2.9000000000000004,9.700000000000001,76338,9369,20.414593698175786,32.91820907592773,0.144,0.186,1360,1.85,0.446,Border State,Non-Border
04012,AZ,"La Paz County, AZ",2019,4.800000000000001,18.7,53925,16710,13.855103120042306,53.38379669189453,0.186,0.282,3870,1.85,0.819,Border State,Non-Border
04012,AZ,"La Paz County, AZ",2020,4.800000000000001,18.7,53925,16710,13.855103120042306,53.38379669189453,0.175,0.266,3680,1.85,0.826,Border State,Non-Border
04012,AZ,"La Paz County, AZ",2021,4.800000000000001,18.7,53925,16710,13.855103120042306,53.38379669189453,0.15,0.211,2520,1.85,0.835,Border State,Non-Border
04012,AZ,"La Paz County, AZ",2022,4.800000000000001,18.7,53925,16710,13.855103120042306,53.38379669189453,0.186,0.27,3110,1.85,0.789,Border State,Non-Border
04012,AZ,"La Paz County, AZ",2023,4.800000000000001,18.7,53925,16710,13.855103120042306,53.38379669189453,0.189,0.286,3140,1.85,0.794,Border State,Non-Border
04013,AZ,"Maricopa County, AZ",2019,3.4000000000000004,11.100000000000001,83668,4585871,35.858005799892254,20.82586669921875,0.117,0.163,506640,1.85,0.64,Border State,Non-Border
04013,AZ,"Maricopa County, AZ",2020,3.4000000000000004,11.100000000000001,83668,4585871,35.858005799892254,20.82586669921875,0.11,0.168,487340,1.85,0.629,Border State,Non-Border
04013,AZ,"Maricopa County, AZ",2021,3.4000000000000004,11.100000000000001,83668,4585871,35.858005799892254,20.82586669921875,0.092,0.125,400830,1.85,0.61,Border State,Non-Border
04013,AZ,"Maricopa County, AZ",2022,3.4000000000000004,11.100000000000001,83668,4585871,35.858005799892254,20.82586669921875,0.12,0.173,530930,1.85,0.571,Border State,Non-Border
04013,AZ,"Maricopa County, AZ",2023,3.4000000000000004,11.100000000000001,83668,4585871,35.858005799892254,20.82586669921875,0.132,0.171,593130,1.85,0.541,Border State,Non-Border
04015,AZ,"Mohave County, AZ",2019,4.5,16.8,54842,223682,14.88545563987867,45.86861801147461,0.167,0.245,34740,1.85,0.707,Border State,Non-Border
04015,AZ,"Mohave County, AZ",2020,4.5,16.8,54842,223682,14.88545563987867,45.86861801147461,0.164,0.246,34670,1.85,0.696,Border State,Non-Border
04015,AZ,"Mohave County, AZ",2021,4.5,16.8,54842,223682,14.88545563987867,45.86861801147461,0.136,0.199,28830,1.85,0.763,Border State,Non-Border
04015,AZ,"Mohave County, AZ",2022,4.5,16.8,54842,223682,14.88545563987867,45.86861801147461,0.164,0.26,35030,1.85,0.735,Border State,Non-Border
04015,AZ,"Mohave County, AZ",2023,4.5,16.8,54842,223682,14.88545563987867,45.86861801147461,0.175,0.27,38120,1.85,0.706,Border State,Non-Border
04017,AZ,"Navajo County, AZ",2019,5.7,24.700000000000003,49948,109175,17.631494659443803,44.54315567016602,0.207,0.296,22650,1.85,0.756,Border State,Non-Border
04017,AZ,"Navajo County, AZ",2020,5.7,24.700000000000003,49948,109175,17.631494659443803,44.54315567016602,0.192,0.261,21160,1.85,0.777,Border State,Non-Border
04017,AZ,"Navajo County, AZ",2021,5.7,24.700000000000003,49948,109175,17.631494659443803,44.54315567016602,0.167,0.217,17820,1.85,0.818,Border State,Non-Border
04017,AZ,"Navajo County, AZ",2022,5.7,24.700000000000003,49948,109175,17.631494659443803,44.54315567016602,0.19,0.273,20340,1.85,0.797,Border State,Non-Border
04017,AZ,"Navajo County, AZ",2023,5.7,24.700000000000003,49948,109175,17.631494659443803,44.54315567016602,0.195,0.282,21010,1.85,0.779,Border State,Non-Border
04019,AZ,"Pima County, AZ",2019,3.8000000000000003,14,64007,1063162,35.870627429205996,28.64681243896484,0.133,0.189,136740,1.85,0.716,Border State,Border County
04019,AZ,"Pima County, AZ",2020,3.8000000000000003,14,64007,1063162,35.870627429205996,28.64681243896484,0.126,0.194,130860,1.85,0.713,Border State,Border County
04019,AZ,"Pima County, AZ",2021,3.8000000000000003,14,64007,1063162,35.870627429205996,28.64681243896484,0.109,0.147,112480,1.85,0.69,Border State,Border County
04019,AZ,"Pima County, AZ",2022,3.8000000000000003,14,64007,1063162,35.870627429205996,28.64681243896484,0.14,0.197,146200,1.85,0.663,Border State,Border County
04019,AZ,"Pima County, AZ",2023,3.8000000000000003,14,64007,1063162,35.870627429205996,28.64681243896484,0.151,0.192,158260,1.85,0.628,Border State,Border County
04021,AZ,"Pinal County, AZ",2019,4.1000000000000005,11.8,76232,484239,22.150215809205758,45.73484420776367,0.12,0.178,51730,1.85,0.633,Border State,Non-Border
04021,AZ,"Pinal County, AZ",2020,4.1000000000000005,11.8,76232,484239,22.150215809205758,45.73484420776367,0.111,0.173,49680,1.85,0.643,Border State,Non-Border
04021,AZ,"Pinal County, AZ",2021,4.1000000000000005,11.8,76232,484239,22.150215809205758,45.73484420776367,0.091,0.132,38480,1.85,0.674,Border State,Non-Border
04021,AZ,"Pinal County, AZ",2022,4.1000000000000005,11.8,76232,484239,22.150215809205758,45.73484420776367,0.123,0.188,53400,1.85,0.603,Border State,Non-Border
04021,AZ,"Pinal County, AZ",2023,4.1000000000000005,11.8,76232,484239,22.150215809205758,45.73484420776367,0.133,0.184,59960,1.85,0.583,Border State,Non-Border
04023,AZ,"Santa Cruz County, AZ",2019,7.6000000000000005,20.1,53467,49158,24.069518545733363,36.2806282043457,0.146,0.226,6760,1.85,1,Border State,Border County
04023,AZ,"Santa Cruz County, AZ",2020,7.6000000000000005,20.1,53467,49158,24.069518545733363,36.2806282043457,0.14,0.24,6540,1.85,0.989,Border State,Border County
04023,AZ,"Santa Cruz County, AZ",2021,7.6000000000000005,20.1,53467,49158,24.069518545733363,36.2806282043457,0.132,0.184,6280,1.85,0.847,Border State,Border County
04023,AZ,"Santa Cruz County, AZ",2022,7.6000000000000005,20.1,53467,49158,24.069518545733363,36.2806282043457,0.176,0.226,8430,1.85,0.829,Border State,Border County
04023,AZ,"Santa Cruz County, AZ",2023,7.6000000000000005,20.1,53467,49158,24.069518545733363,36.2806282043457,0.186,0.209,8960,1.85,0.806,Border State,Border County
04025,AZ,"Yavapai County, AZ",2019,3.6,12.8,64187,249081,29.602252541267426,35.75042343139648,0.138,0.188,31400,1.85,0.623,Border State,Non-Border
04025,AZ,"Yavapai County, AZ",2020,3.6,12.8,64187,249081,29.602252541267426,35.75042343139648,0.13,0.179,30260,1.85,0.643,Border State,Non-Border
04025,AZ,"Yavapai County, AZ",2021,3.6,12.8,64187,249081,29.602252541267426,35.75042343139648,0.108,0.146,25310,1.85,0.702,Border State,Non-Border
04025,AZ,"Yavapai County, AZ",2022,3.6,12.8,64187,249081,29.602252541267426,35.75042343139648,0.136,0.206,32260,1.85,0.635,Border State,Non-Border
04025,AZ,"Yavapai County, AZ",2023,3.6,12.8,64187,249081,29.602252541267426,35.75042343139648,0.146,0.214,35210,1.85,0.606,Border State,Non-Border
04027,AZ,"Yuma County, AZ",2019,13.200000000000001,15.9,54209,213221,16.671988356637385,24.71905517578125,0.182,0.295,38200,1.85,0.858,Border State,Border County
04027,AZ,"Yuma County, AZ",2020,13.200000000000001,15.9,54209,213221,16.671988356637385,24.71905517578125,0.162,0.283,34400,1.85,0.872,Border State,Border County
04027,AZ,"Yuma County, AZ",2021,13.200000000000001,15.9,54209,213221,16.671988356637385,24.71905517578125,0.146,0.212,29710,1.85,0.796,Border State,Border County
04027,AZ,"Yuma County, AZ",2022,13.200000000000001,15.9,54209,213221,16.671988356637385,24.71905517578125,0.188,0.262,38510,1.85,0.8,Border State,Border County
04027,AZ,"Yuma County, AZ",2023,13.200000000000001,15.9,54209,213221,16.671988356637385,24.71905517578125,0.195,0.243,40550,1.85,0.753,Border State,Border County
